season,n_games,accuracy,log_loss,brier,auc,approach
2017,1404,0.8148,0.4235,0.135,0.8913,A_hl5
2018,1366,0.8807,0.3138,0.0943,0.9445,A_hl5
2019,1354,0.8582,0.3436,0.1035,0.9372,A_hl5
2020,1027,0.8598,0.2884,0.09,0.9501,A_hl5
2021,1201,0.8759,0.2856,0.0887,0.952,A_hl5
2022,1373,0.8631,0.3367,0.1038,0.9349,A_hl5
2023,1369,0.8751,0.2926,0.09,0.9524,A_hl5
2024,1387,0.8645,0.2914,0.0915,0.9491,A_hl5
2025,1375,0.8727,0.2645,0.082,0.96,A_hl5
2017,1404,0.8269,0.3818,0.124,0.914,A_hl10
2018,1366,0.866,0.3071,0.0956,0.9452,A_hl10
2019,1354,0.8368,0.362,0.1121,0.9275,A_hl10
2020,1027,0.8695,0.2745,0.0857,0.9551,A_hl10
2021,1201,0.8826,0.2746,0.0862,0.9558,A_hl10
2022,1373,0.8623,0.325,0.1017,0.9393,A_hl10
2023,1369,0.8729,0.289,0.0897,0.9528,A_hl10
2024,1387,0.8681,0.2921,0.0923,0.9479,A_hl10
2025,1375,0.8727,0.2565,0.0811,0.9605,A_hl10
2017,1404,0.8255,0.3877,0.1264,0.9132,A_hl15
2018,1366,0.8748,0.2925,0.0906,0.9505,A_hl15
2019,1354,0.8538,0.3314,0.1015,0.9389,A_hl15
2020,1027,0.8715,0.2709,0.0848,0.9567,A_hl15
2021,1201,0.8784,0.273,0.0864,0.9555,A_hl15
2022,1373,0.8638,0.3189,0.0991,0.9407,A_hl15
2023,1369,0.8722,0.2793,0.0868,0.9559,A_hl15
2024,1387,0.8702,0.2783,0.0876,0.9526,A_hl15
2025,1375,0.8749,0.2564,0.0813,0.9602,A_hl15
2017,1404,0.8098,0.4025,0.133,0.9095,A_hl20
2018,1366,0.8529,0.3036,0.0953,0.9489,A_hl20
2019,1354,0.853,0.3282,0.101,0.94,A_hl20
2020,1027,0.8705,0.2733,0.0863,0.955,A_hl20
2021,1201,0.8743,0.2714,0.086,0.9562,A_hl20
2022,1373,0.8609,0.3269,0.1024,0.9377,A_hl20
2023,1369,0.8634,0.2938,0.0931,0.9488,A_hl20
2024,1387,0.8695,0.2823,0.0893,0.9516,A_hl20
2025,1375,0.8756,0.2565,0.0813,0.9603,A_hl20
2017,1404,0.817,0.5456,0.1779,0.9229,B
2018,1366,0.5286,0.6154,0.2229,0.9461,B
2019,1354,0.87,0.3895,0.1139,0.9418,B
2020,1027,0.8685,0.3552,0.1023,0.9486,B
2021,1201,0.8793,0.3534,0.1017,0.9482,B
2022,1373,0.8718,0.3602,0.1046,0.9453,B
2023,1369,0.8751,0.3409,0.0975,0.9555,B
2024,1387,0.8782,0.3355,0.0954,0.9564,B
2025,1375,0.8727,0.3331,0.095,0.9575,B
2017,1404,0.8212,0.3672,0.1214,0.9205,C
2018,1366,0.8726,0.288,0.0901,0.9523,C
2019,1354,0.8449,0.3188,0.101,0.9405,C
2020,1027,0.8695,0.2703,0.0862,0.9558,C
2021,1201,0.8718,0.2702,0.0869,0.956,C
2022,1373,0.8704,0.3159,0.0992,0.9449,C
2023,1369,0.8766,0.2705,0.0846,0.9581,C
2024,1387,0.8645,0.2728,0.0871,0.9539,C
2025,1375,0.8742,0.257,0.0821,0.9598,C
2017,1404,0.8761,0.288,0.0854,0.9552,D_transfer
2018,1366,0.888,0.2688,0.0801,0.9609,D_transfer
2019,1354,0.8826,0.2745,0.0829,0.957,D_transfer
2020,1027,0.8715,0.2782,0.0868,0.9537,D_transfer
2021,1201,0.8784,0.2831,0.0872,0.9528,D_transfer
2022,1373,0.8711,0.2944,0.0902,0.948,D_transfer
2023,1369,0.8692,0.2737,0.0864,0.9561,D_transfer
2024,1387,0.8688,0.2689,0.0845,0.9573,D_transfer
2025,1375,0.8684,0.273,0.0854,0.9565,D_transfer
